Name,Beds,Baths,Half Baths,Main Level SF,Upper Level SF,Lower Level SF,Porch & Deck SF,Garage SF,Garage Apartment SF,Heated SF,Total SF,Type,Render Front,Elevation Front,Elevation Left,Elevation Rear,Elevation Right,Floor Plan Main,Floor Plan Upper,Floor Plan Lower,Poster
Tullahoma,3,2,0,1866,387,0,0,0,0,2253,2253,multi_level,tullahoma--render--front.jpg,tullahoma--elevation--front.jpg,tullahoma--elevation--left.jpg,tullahoma--elevation--rear.jpg,tullahoma--elevation--right.jpg,tullahoma--floor-plan--main.jpg,tullahoma--floor-plan--upper.jpg,,tullahoma--poster.jpg
Tumbleweed Camp,3,2,0,668,417,0,465,0,0,1085,1550,multi_level,tumbleweed-camp-smalls--render--front.jpg,tumbleweed-camp-smalls--elevation--front.jpg,tumbleweed-camp-smalls--elevation--left.jpg,tumbleweed-camp-smalls--elevation--rear.jpg,tumbleweed-camp-smalls--elevation--right.jpg,tumbleweed-camp-smalls--floor-plan--main.jpg,tumbleweed-camp-smalls--floor-plan--upper.jpg,,tumbleweed-camp-smalls--poster.jpg
Tumbling Creek Farm,2,2,1,1846,0,0,871,654,0,1846,3371,single_level,tumbling-creek-farm--render--front.jpg,,,,,tumbling-creek-farm--floor-plan--main.jpg,,,tumbling-creek-farm--poster.jpg
Turkey Lurkey,2,2,0,994,702,994,579,0,0,2690,3269,multi_level,turkey-lurkey--render--front.jpg,turkey-lurkey--elevation--front.jpg,turkey-lurkey--elevation--left.jpg,turkey-lurkey--elevation--rear.jpg,turkey-lurkey--elevation--right.jpg,turkey-lurkey--floor-plan--main.jpg,turkey-lurkey--floor-plan--upper.jpg,,turkey-lurkey--poster.jpg
Wagon Wheel Camp,1,1,1,0,1030,0,336,1067,0,1030,2433,multi_level,wagon-wheel-camp--render--front.jpg,wagon-wheel-camp--elevation--front.jpg,wagon-wheel-camp--elevation--left.jpg,wagon-wheel-camp--elevation--rear.jpg,wagon-wheel-camp--elevation--right.jpg,wagon-wheel-camp--floor-plan--main.jpg,wagon-wheel-camp--floor-plan--upper.jpg,,wagon-wheel-camp--poster.jpg
Welcome Valley,3,3,1,2689,718,0,1058,726,0,3407,5191,multi_level,welcome-valley--render--front.jpg,welcome-valley--elevation--front.jpg,welcome-valley--elevation--left.jpg,welcome-valley--elevation--rear.jpg,welcome-valley--elevation--right.jpg,welcome-valley--floor-plan--main.jpg,welcome-valley--floor-plan--upper.jpg,,welcome-valley--poster.jpg
Wheelhouse Ranch,4,5,0,2977,1137,0,1226,1255,0,4114,6595,multi_level,wheelhouse-ranch-wipf--render--front.jpg,wheelhouse-ranch-wipf--elevation--front.jpg,wheelhouse-ranch-wipf--elevation--left.jpg,wheelhouse-ranch-wipf--elevation--rear.jpg,wheelhouse-ranch-wipf--elevation--right.jpg,wheelhouse-ranch-wipf--floor-plan--main.jpg,wheelhouse-ranch-wipf--floor-plan--upper.jpg,,wheelhouse-ranch-wipf--poster.jpg
Whippoorwill Lodge,5,5,2,2443,1163,1487,1185,0,0,5093,6278,multi_level,whippoorwill-lodge--render--front.jpg,whippoorwill-lodge--elevation--front.jpg,whippoorwill-lodge--elevation--left.jpg,whippoorwill-lodge--elevation--rear.jpg,whippoorwill-lodge--elevation--right.jpg,whippoorwill-lodge--floor-plan--main.jpg,whippoorwill-lodge--floor-plan--upper.jpg,whippoorwill-lodge--floor-plan--lower.jpg,whippoorwill-lodge--poster.jpg
Whiskey Bottom Lodge,3,2,0,1516,288,1176,580,627,0,2980,4187,multi_level,whiskey-bottom-lodge--render--front.jpg,whiskey-bottom-lodge--elevation--front.jpg,whiskey-bottom-lodge--elevation--left.jpg,whiskey-bottom-lodge--elevation--rear.jpg,whiskey-bottom-lodge--elevation--right.jpg,whiskey-bottom-lodge--floor-plan--main.jpg,whiskey-bottom-lodge--floor-plan--upper.jpg,whiskey-bottom-lodge--floor-plan--lower.jpg,whiskey-bottom-lodge--poster.jpg
Wild Turkey Lodge,3,3,1,1514,0,988,870,725,866,3368,4963,multi_level,wild-turkey-lodge--render--front.jpg,wild-turkey-lodge--elevation--front.jpg,wild-turkey-lodge--elevation--left.jpg,wild-turkey-lodge--elevation--rear.jpg,wild-turkey-lodge--elevation--right.jpg,wild-turkey-lodge--floor-plan--main.jpg,wild-turkey-lodge--floor-plan--upper.jpg,,wild-turkey-lodge--poster.jpg
Wild Turkey Retreat,3,4,0,1533,945,0,765,780,0,2478,4023,multi_level,wild-turkey-retreat--render--front.jpg,wild-turkey-retreat--elevation--front.jpg,wild-turkey-retreat--elevation--left.jpg,wild-turkey-retreat--elevation--rear.jpg,wild-turkey-retreat--elevation--right.jpg,wild-turkey-retreat--floor-plan--main.jpg,wild-turkey-retreat--floor-plan--upper.jpg,,wild-turkey-retreat--poster.jpg
Wildcat Farm,3,2,1,2115,0,0,364,545,0,2115,3024,single_level,wildcat-farm--render--front.jpg,wildcat-farm--elevation--front.jpg,wildcat-farm--elevation--left.jpg,wildcat-farm--elevation--rear.jpg,wildcat-farm--elevation--right.jpg,wildcat-farm--floor-plan--main.jpg,,,wildcat-farm--poster.jpg
Wildwood,2,2,0,840,369,840,192,0,0,2049,2241,multi_level,wildwood--render--front.jpg,wildwood--elevation--front.jpg,wildwood--elevation--left.jpg,wildwood--elevation--rear.jpg,wildwood--elevation--right.jpg,wildwood--floor-plan--main.jpg,wildwood--floor-plan--upper.jpg,,wildwood--poster.jpg
Willow Creek Farm,3,2,1,2033,818,0,390,920,0,2851,4161,multi_level,willow-creek-farm--render--front.jpg,willow-creek-farm--elevation--front.jpg,willow-creek-farm--elevation--left.jpg,willow-creek-farm--elevation--rear.jpg,willow-creek-farm--elevation--right.jpg,willow-creek-farm--floor-plan--main.jpg,willow-creek-farm--floor-plan--upper.jpg,,willow-creek-farm--poster.jpg
Wolf Pack Lodge,2,3,0,1200,611,522,1417,678,0,2333,4428,multi_level,wolf-pack-lodge--render--front.jpg,wolf-pack-lodge--elevation--front.jpg,wolf-pack-lodge--elevation--left.jpg,wolf-pack-lodge--elevation--rear.jpg,wolf-pack-lodge--elevation--right.jpg,wolf-pack-lodge--floor-plan--main.jpg,wolf-pack-lodge--floor-plan--upper.jpg,wolf-pack-lodge--floor-plan--lower.jpg,wolf-pack-lodge--poster.jpg
Wolfpen Camp,3,2,1,1300,0,1300,323,0,0,2600,2923,multi_level,wolfpen-camp--render--front.jpg,wolfpen-camp--elevation--front.jpg,wolfpen-camp--elevation--left.jpg,wolfpen-camp--elevation--rear.jpg,wolfpen-camp--elevation--right.jpg,wolfpen-camp--floor-plan--main.jpg,,wolfpen-camp--floor-plan--lower.jpg,wolfpen-camp--poster.jpg
Woodland,2,2,0,822,582,0,50,0,0,1404,1454,multi_level,woodland--render--front.jpg,woodland--elevation--front.jpg,woodland--elevation--left.jpg,woodland--elevation--rear.jpg,woodland--elevation--right.jpg,woodland--floor-plan--main.jpg,woodland--floor-plan--upper.jpg,,woodland--poster.jpg
Wrenwood Lodge,6,3,1,2177,203,1857,471,576,0,4237,5284,multi_level,wrenwood-lodge--render--front.jpg,wrenwood-lodge--elevation--front.jpg,wrenwood-lodge--elevation--left.jpg,wrenwood-lodge--elevation--rear.jpg,wrenwood-lodge--elevation--right.jpg,wrenwood-lodge--floor-plan--main.jpg,wrenwood-lodge--floor-plan--upper.jpg,wrenwood-lodge--floor-plan--lower.jpg,wrenwood-lodge--poster.jpg
